transport_mode,distance_km,weather,time_of_day,co2_kg
4,20.05,0,16,0.03
1,1.66,0,18,0.186
2,28.6,0,9,1.13
2,7.13,0,12,0.338
2,11.66,1,16,0.585
3,14.31,0,12,0.84
2,17.09,1,0,0.585
0,23.62,0,16,3.607
4,16.38,0,0,0.022
1,16.3,0,20,1.521
4,15.71,0,17,0.01
3,23.28,0,12,1.574
0,24.73,1,5,5.011
0,22.46,1,3,6.038
2,20.17,0,9,0.837
4,21.66,0,11,0.042
1,15.33,1,3,1.436
1,13.67,0,8,1.505
1,18.35,1,21,2.322
0,26.1,0,21,6.154
0,19.12,1,18,5.1
4,19.79,0,9,0.024
2,28.83,0,0,0.608
4,27.18,1,23,0.059
2,7.76,0,10,0.208
0,2.17,0,20,0.349
1,13.41,0,7,1.345
1,16.03,0,9,1.186
0,14.22,0,2,2.095
2,27.27,1,14,0.949
1,11.17,0,23,1.187
1,4.31,1,7,0.48
0,5.12,0,0,0.922
4,12.48,1,12,0.019
4,15.92,0,20,0.01
3,21.61,0,9,1.22
2,3.02,0,19,0.072
2,14.92,0,23,0.681
0,21.57,0,6,3.428
0,26.18,1,14,4.603
2,16.31,1,21,0.718
3,23.97,1,20,1.396
4,17.07,1,0,0.027
2,27.3,0,18,0.778
3,9.01,1,18,0.308
3,17.53,1,2,1.052
4,23.54,1,21,0.02
4,13.6,0,23,0.01
0,9.46,1,22,2.276
2,12.18,1,3,0.542
1,26.64,1,16,2.666
2,7.79,0,9,0.328
2,10.37,0,17,0.261
4,14.12,1,18,0.01
1,5.87,1,5,0.416
1,28.91,0,7,2.117
0,12.29,0,18,2.208
0,16.27,0,20,2.85
2,23.4,0,17,0.979
2,24.33,1,8,1.337
2,26.78,0,22,1.116
2,27.16,0,14,1.091
1,24.98,1,1,2.196
0,0.98,0,20,0.166
1,12.75,0,9,1.449
0,6.16,0,1,1.079
2,7.28,1,19,0.332
2,20.91,0,12,0.847
1,7.6,1,7,0.787
3,20.24,1,7,1.453
2,4.41,1,4,0.113
1,3.44,0,13,0.268
2,25.2,1,21,0.909
3,20.69,0,2,1.443
2,15.84,1,9,0.798
0,27.43,1,9,7.939
1,18.57,0,16,1.591
1,8.76,0,20,0.631
0,23.96,0,14,5.54
2,16.07,0,18,0.66
3,13.27,0,22,0.897
0,15.7,1,22,3.705
1,5.68,0,20,0.469
2,19.76,1,21,1.117
0,4.57,1,8,1.364
3,1.65,1,4,0.118
0,12.92,1,18,2.581
0,29.73,0,14,5.752
4,28.62,1,11,0.02
3,21.36,0,5,1.253
2,14.38,0,8,0.487
3,23.8,1,3,1.535
4,10.9,0,21,0.016
2,6.04,0,6,0.267
0,29.39,0,21,5.677
0,20.85,1,18,6.766
1,13.52,1,22,0.998
2,14.52,0,1,0.639
2,7.81,1,5,0.308
0,1.22,0,13,0.206
3,17.88,0,10,0.68
3,8.07,0,23,0.569
3,19.29,1,13,1.235
2,17.69,1,5,0.926
0,2.36,0,22,0.287
2,28.02,0,4,1.003
0,12.79,1,21,2.914
1,24.08,0,14,1.655
1,8.99,0,3,0.808
0,1.11,0,3,0.189
3,24.78,1,4,0.904
4,29.84,0,11,0.056
4,17.66,0,13,0.03
3,1.73,0,23,0.089
0,28.18,1,17,8.724
2,29.47,0,14,1.526
0,20.95,0,10,3.375
0,18.64,0,0,4.499
3,10.91,0,11,0.645
1,27.7,0,7,2.531
3,13.19,1,9,0.502
1,9.83,1,23,0.763
1,24.08,1,8,2.445
1,26.98,1,23,2.318
0,26.36,1,17,4.397
0,5.19,1,16,1.253
3,4.51,0,0,0.214
2,27.86,0,3,0.8
4,22.01,0,23,0.028
3,20.01,0,22,0.894
4,8.44,1,8,0.016
0,18.09,1,19,4.851
0,24.22,0,20,6.119
1,28.57,1,3,2.435
2,1.48,1,14,0.075
4,15.17,0,15,0.026
4,3.78,0,13,0.01
4,14.11,0,19,0.02
3,20.4,0,13,0.974
2,2.36,0,23,0.07
1,16.27,1,14,1.662
2,18.58,0,10,0.755
3,14.22,1,10,0.499
4,22.87,1,12,0.038
1,4.34,1,6,0.356
1,19.06,0,18,1.516
1,23.25,0,3,1.916
4,12.8,0,2,0.023
1,18.71,1,11,1.791
4,26.9,0,21,0.028
4,12.27,1,17,0.015
0,18.89,1,10,4.623
0,2.48,1,16,0.447
1,22.15,0,7,1.797
3,9.45,0,17,0.396
0,1.55,0,7,0.282
0,6.08,1,20,1.38
2,19.4,1,19,0.554
3,26.44,0,15,1.088
0,14.03,0,6,2.524
4,26.02,1,2,0.051
0,4.45,0,23,0.961
0,13.59,0,18,4.106
1,0.74,1,12,0.076
1,22.02,0,16,2.193
1,3.87,1,13,0.328
3,17.01,1,23,1.316
2,6.35,0,19,0.329
1,24.26,1,4,2.57
3,2.81,1,16,0.117
2,29.25,0,8,0.841
0,4.83,0,2,0.764
3,23.54,0,2,1.26
4,29.77,0,0,0.023
2,2.52,1,10,0.081
3,9.3,1,17,0.556
4,29.89,1,23,0.04
4,2.61,0,15,0.01
3,6.11,0,20,0.395
2,19.62,0,2,0.808
3,18.16,1,12,1.142
4,17.94,0,0,0.034
2,21.68,1,23,0.872
1,26.33,0,11,2.817
1,26.71,1,23,2.698
0,11.28,1,3,2.229
0,2.87,1,13,0.414
4,17.95,1,2,0.022
0,19.08,0,0,3.147
2,18.46,0,0,0.689
0,19.13,0,4,4.118
3,24.91,0,18,1.698
0,8.82,0,0,1.864
2,11.71,0,14,0.319
2,10.73,0,12,0.415
3,6.06,0,15,0.402
0,19.34,1,7,3.653
1,11.31,0,22,1.023
2,16.03,0,5,0.695
1,21.19,1,2,1.946
3,4.73,0,22,0.351
2,13.42,0,21,0.385
4,2.38,0,1,0.01
1,14.95,0,4,1.071
1,24.6,1,23,2.672
0,8.55,0,18,2.029
3,9.3,1,12,0.699
4,2.44,1,5,0.01
3,25.55,1,19,1.212
1,1.91,0,12,0.157
3,16.51,1,8,0.738
4,20.97,0,3,0.036
1,17.4,0,11,1.372
4,11.21,0,6,0.013
2,11.85,1,16,0.354
2,29.35,0,20,0.977
0,4.09,1,21,1.001
2,28.9,0,21,0.813
3,23.31,0,14,1.112
0,26.9,1,16,7.143
1,4.02,0,14,0.336
2,7.81,0,0,0.24
0,11.85,0,5,1.919
2,14.87,0,4,0.525
3,20.02,0,5,0.765
0,29.39,0,14,3.9
1,21.22,1,22,1.566
1,9.04,1,19,1.012
2,16.12,1,21,0.47
0,22.37,1,15,3.297
1,13.91,0,18,1.269
4,25.34,1,16,0.049
1,25.44,1,4,2.616
2,28.83,0,10,0.558
3,7.87,0,14,0.264
4,4.08,1,19,0.01
4,14.16,1,13,0.029
0,18.57,1,6,4.6
4,14.05,1,14,0.011
4,21.8,0,17,0.022
0,25.3,0,12,5.064
0,24.62,0,11,7.474
4,28.61,1,17,0.061
1,24.19,1,22,2.524
0,22.15,1,2,4.48
0,9.68,1,6,1.424
3,9.51,1,12,0.718
2,16.21,1,4,0.831
2,18.27,0,21,0.556
0,17.58,1,3,2.666
2,23.22,0,14,1.115
3,16.85,0,5,1.154
3,15.5,0,9,0.719
0,19.96,0,2,3.469
2,25.84,0,19,0.579
1,10.02,0,19,1.031
0,5.98,1,13,0.906
1,12.81,1,3,1.214
2,29.31,0,23,1.241
1,20.01,1,16,1.745
3,25.73,0,15,0.888
0,28.01,0,5,4.302
2,28.08,0,7,1.05
1,28.33,0,15,2.243
4,20.11,0,13,0.017
4,9.87,0,0,0.01
0,26.9,1,6,4.961
1,2.36,0,11,0.213
2,13.68,1,17,0.735
2,21.01,0,20,0.984
4,10.55,1,8,0.01
2,17.43,1,11,0.93
1,17.55,1,15,2.048
1,29.48,1,4,2.827
2,1.84,0,4,0.067
0,20.02,1,3,3.062
3,4.0,0,11,0.23
1,17.26,1,23,1.258
1,28.55,1,9,3.537
2,25.61,0,5,1.223
1,1.39,1,14,0.097
4,1.35,1,23,0.01
1,19.23,1,5,1.446
4,9.47,0,15,0.015
0,18.39,0,1,3.925
2,19.89,0,22,0.58
2,18.3,0,7,0.628
3,19.11,1,2,1.048
0,25.89,1,18,6.426
3,5.86,0,4,0.316
2,4.36,0,12,0.192
0,6.37,1,6,0.93
2,1.99,1,18,0.085
2,9.77,1,13,0.376
2,16.86,0,5,0.612
2,20.56,0,10,1.0
2,3.97,1,1,0.103
3,2.85,0,6,0.126
3,21.45,0,12,1.089
3,8.99,1,3,0.376
3,14.44,1,21,0.987
0,11.63,0,19,3.249
2,24.19,1,9,0.756
4,4.59,0,2,0.01
2,23.07,1,19,0.958
0,18.32,1,21,4.263
3,7.95,1,15,0.467
2,8.09,1,10,0.416
2,18.0,1,11,0.483
4,23.43,1,20,0.034
4,24.66,0,11,0.044
3,20.23,0,2,0.864
3,3.82,0,12,0.213
1,5.15,0,14,0.529
2,17.2,1,8,0.943
4,10.04,1,4,0.016
3,19.18,1,7,0.984
1,21.1,1,11,2.127
4,14.05,1,10,0.02
4,25.82,0,0,0.034
4,3.51,0,18,0.01
1,26.06,1,4,2.534
2,9.0,1,0,0.339
2,23.7,1,8,1.054
3,11.45,0,12,0.753
2,26.75,0,16,0.938
4,9.12,0,17,0.018
2,16.37,1,5,0.375
0,16.04,0,3,3.737
0,29.36,1,8,7.628
4,22.08,1,4,0.014
1,23.22,1,18,2.978
3,16.11,0,14,0.978
0,4.01,1,21,0.672
1,24.13,0,23,1.907
1,5.15,1,14,0.505
4,26.52,0,12,0.034
3,24.63,0,4,1.87
3,18.25,1,19,0.792
4,13.94,0,0,0.02
4,28.93,0,7,0.054
1,8.67,0,2,0.589
3,21.27,1,21,0.986
3,22.1,0,12,0.767
3,3.38,1,20,0.14
4,21.83,0,19,0.015
4,22.96,1,13,0.035
4,6.51,1,3,0.01
1,25.93,1,14,2.263
2,28.14,1,0,1.361
3,17.62,0,23,0.649
1,18.15,1,3,1.53
0,5.45,0,7,0.953
4,8.04,1,4,0.01
0,8.01,0,23,1.167
2,15.42,1,15,0.361
2,12.93,1,3,0.441
4,18.05,0,8,0.01
1,15.0,1,19,1.899
1,6.63,0,10,0.478
4,19.61,1,0,0.022
0,17.38,0,16,4.164
0,18.03,0,15,2.343
1,28.8,1,3,2.175
0,0.55,0,23,0.137
0,9.04,1,13,2.281
2,29.37,1,2,1.347
1,27.62,1,16,2.446
3,2.49,0,6,0.134
0,27.03,1,5,5.463
0,29.56,1,19,9.399
3,1.1,1,1,0.068
3,25.29,0,18,1.058
2,24.23,0,3,1.094
1,4.66,0,19,0.36
2,6.29,0,4,0.213
4,24.64,0,2,0.023
4,26.52,0,11,0.018
2,26.58,0,11,0.78
0,13.04,0,21,1.854
3,2.56,1,15,0.12
2,0.54,0,7,0.022
0,14.68,1,6,3.752
0,26.01,0,5,6.256
4,17.14,1,2,0.011
0,9.64,1,4,2.259
3,12.31,0,1,0.809
2,12.69,1,0,0.746
0,5.6,1,19,1.714
1,23.9,0,1,2.102
3,22.43,0,4,1.336
2,21.32,0,4,0.851
2,19.57,1,7,0.959
4,7.72,1,13,0.01
3,12.91,0,13,0.839
1,16.06,0,3,1.091
0,20.56,0,21,5.524
1,25.87,0,15,1.699
3,21.81,1,6,1.23
4,10.2,0,23,0.019
3,12.03,1,9,0.431
4,6.82,0,14,0.011
3,9.92,1,2,0.333
0,17.28,0,0,3.387
1,13.43,1,0,1.233
1,10.57,1,8,1.176
3,19.04,0,6,1.036
4,6.55,0,7,0.011
0,8.54,1,19,1.64
3,5.79,0,0,0.245
0,27.85,0,21,4.489
1,23.15,0,16,2.005
3,14.85,0,18,0.97
3,22.14,1,7,0.789
0,2.03,0,13,0.511
0,1.7,0,1,0.386
3,14.71,1,8,0.487
1,9.1,1,13,0.618
1,23.69,1,14,2.262
4,2.68,1,20,0.01
2,5.11,1,9,0.204
4,26.84,1,13,0.048
3,20.98,1,4,1.399
4,11.54,1,5,0.027
1,2.79,1,14,0.293
0,24.41,0,6,3.449
0,2.04,0,13,0.524
1,4.87,1,18,0.417
0,27.83,1,8,7.623
1,7.6,1,14,0.508
4,12.05,1,14,0.019
2,18.64,0,9,0.797
2,16.48,1,21,0.594
2,7.51,1,15,0.315
3,8.35,0,5,0.303
0,15.78,0,12,3.399
0,5.5,0,15,0.895
4,15.67,0,15,0.028
0,14.74,1,5,3.739
2,21.1,0,10,1.095
1,26.38,0,3,2.418
1,15.42,1,11,1.608
3,1.73,0,13,0.107
3,4.47,0,2,0.155
3,27.67,1,7,1.74
4,26.21,1,8,0.057
2,1.27,1,8,0.062
3,15.08,0,4,0.704
1,17.55,1,8,1.488
0,6.48,1,20,1.443
1,5.06,1,0,0.381
3,23.11,0,18,1.382
4,19.88,0,4,0.037
0,16.57,1,18,4.436
4,16.01,0,1,0.027
4,21.72,1,0,0.023
3,8.14,0,23,0.532
0,24.14,0,17,6.229
4,17.47,0,18,0.021
3,14.19,1,5,0.517
3,24.72,0,4,1.782
2,24.56,1,5,1.123
1,17.16,0,1,1.483
3,26.72,0,7,1.187
4,27.38,1,20,0.051
2,11.72,1,15,0.561
2,1.64,0,9,0.035
2,19.46,0,2,0.407
1,6.62,1,21,0.604
3,20.9,0,22,1.21
4,22.29,0,0,0.012
1,7.77,0,15,0.458
0,19.85,1,6,4.13
3,2.99,1,8,0.142
4,9.22,1,6,0.01
3,11.29,0,1,0.604
0,23.04,0,6,4.181
0,29.03,1,17,7.692
4,8.08,1,3,0.012
1,15.54,0,3,1.521
1,23.71,0,2,2.261
2,10.31,0,3,0.417
0,14.47,1,18,4.056
2,16.02,1,20,0.467
0,23.67,1,3,3.575
2,16.96,0,13,0.634
3,17.32,1,22,1.379
0,20.92,1,16,4.307
1,7.36,1,2,0.622
2,9.1,1,19,0.24
2,3.89,1,4,0.149
4,13.55,0,13,0.014
2,25.26,0,12,0.754
4,8.31,0,5,0.01
2,18.56,1,0,1.066
4,16.24,0,20,0.023
4,3.08,1,7,0.01
1,8.76,1,20,0.681
2,19.82,1,19,0.521
0,23.85,1,15,4.751
1,6.67,1,7,0.731
1,28.8,1,15,2.835
3,28.24,1,18,2.006
3,6.5,0,10,0.396
0,21.54,0,4,5.005
4,15.41,0,3,0.028
0,29.27,0,1,6.048
0,20.38,1,6,4.084
1,19.01,0,7,1.904
1,21.5,1,21,2.027
0,28.75,1,5,5.123
3,17.29,0,9,1.106
0,23.68,1,7,6.261
4,19.84,0,4,0.034
1,20.42,0,6,2.035
1,19.13,1,20,1.459
4,29.2,1,4,0.045
2,5.24,1,21,0.202
1,20.33,1,13,1.889
2,17.68,1,16,0.804
2,9.16,0,20,0.398
0,4.02,0,20,0.683
4,3.18,0,17,0.01
0,3.09,1,5,0.635
4,22.92,1,17,0.013
3,17.84,0,16,0.909
4,22.58,1,19,0.027
4,5.32,0,19,0.011
1,27.44,0,20,2.416
3,7.97,0,1,0.329
2,2.09,0,7,0.107
3,18.88,0,21,0.951
3,5.51,1,7,0.388
1,15.37,0,18,1.21
4,0.52,0,18,0.01
4,27.05,0,4,0.032
4,10.04,1,9,0.017
1,28.27,0,9,2.476
4,28.5,0,1,0.02
2,5.12,0,23,0.216
0,20.05,0,8,5.437
3,27.93,0,22,1.074
1,11.65,0,16,1.006
4,24.11,0,9,0.043
0,27.71,1,11,4.343
4,14.53,0,21,0.027
4,18.22,0,14,0.011
0,11.18,0,0,1.485
1,10.07,1,20,0.957
0,28.54,0,5,3.926
0,22.13,1,13,5.533
1,1.0,0,13,0.092
4,5.62,0,7,0.01
0,2.54,0,21,0.54
0,2.84,0,21,0.51
3,21.32,1,2,1.181
4,12.54,1,12,0.017
4,13.86,1,3,0.025
2,13.47,0,2,0.393
0,6.08,1,8,1.367
3,14.38,0,22,0.858
0,28.83,0,7,4.482
2,22.82,0,17,1.044
2,15.46,0,4,0.549
0,17.47,1,7,4.354
0,16.42,1,23,2.407
2,13.72,1,6,0.387
1,10.28,0,7,0.931
3,28.43,0,2,1.004
3,21.04,1,22,1.523
1,24.4,0,19,1.735
4,10.83,0,13,0.017
4,28.31,1,11,0.021
1,10.42,1,10,0.878
4,18.31,0,10,0.031
3,22.22,0,13,1.117
0,19.16,0,17,4.49
2,9.34,1,12,0.237
3,22.98,0,2,0.856
0,24.35,1,17,6.332
2,12.86,0,23,0.495
0,26.47,0,11,6.588
1,28.07,0,14,1.892
1,6.17,1,16,0.519
3,23.12,0,6,1.388
3,17.57,1,6,0.634
0,8.5,0,11,1.48
0,24.45,1,9,4.442
4,14.39,1,12,0.026
1,11.22,1,18,1.182
1,22.06,1,17,2.802
1,10.41,0,16,1.019
0,18.97,0,20,3.539
4,24.34,0,12,0.018
3,22.52,1,4,0.752
1,0.78,0,0,0.059
0,0.55,1,16,0.074
0,17.73,0,13,2.781
2,24.27,0,4,0.692
4,26.85,0,7,0.021
2,24.33,1,13,1.278
3,4.7,0,17,0.22
4,28.13,0,11,0.041
2,12.52,1,9,0.433
1,23.09,0,20,2.306
3,8.26,1,12,0.43
3,12.4,1,21,0.834
1,25.84,0,10,2.49
3,27.66,1,6,1.856
2,27.28,1,16,1.406
0,28.37,0,5,5.759
1,4.43,1,10,0.573
1,2.73,1,1,0.286
1,3.61,0,5,0.26
0,24.11,1,2,6.241
0,7.29,1,11,2.37
0,15.92,1,9,4.466
4,4.22,0,5,0.01
2,26.54,1,18,1.034
1,6.84,0,11,0.752
4,13.3,1,6,0.015
3,12.51,0,14,0.764
0,6.86,1,2,0.943
1,1.41,0,7,0.145
3,9.8,0,3,0.664
3,23.66,0,17,1.024
1,11.22,1,20,1.425
1,13.72,0,7,1.143
3,28.53,0,20,1.769
2,17.24,1,21,0.43
3,8.46,0,13,0.48
4,26.96,1,8,0.04
4,27.63,0,13,0.041
2,11.06,1,3,0.287
0,9.3,0,6,2.145
0,13.0,0,19,2.322
2,23.14,0,5,0.515
4,29.27,0,4,0.061
1,28.03,0,16,2.604
2,15.9,0,13,0.751
3,29.41,0,22,1.922
4,8.63,0,4,0.01
2,19.44,1,23,1.058
2,1.45,0,11,0.054
0,6.79,1,21,1.935
4,5.38,1,20,0.01
1,21.37,1,23,1.993
1,18.45,0,8,1.624
3,1.6,0,14,0.098
3,2.41,1,4,0.148
1,16.94,0,15,1.447
2,7.63,0,10,0.356
1,7.98,1,9,0.69
3,11.72,0,6,0.381
1,20.0,1,13,2.204
1,5.17,0,7,0.307
0,12.06,1,12,2.751
1,1.46,1,22,0.146
4,27.89,1,18,0.037
0,2.37,1,9,0.704
0,13.96,0,0,3.481
0,27.85,0,13,4.592
0,11.18,0,18,2.513
2,1.21,0,14,0.042
0,13.23,1,13,3.035
4,25.47,1,14,0.015
0,17.49,0,7,3.101
3,5.94,0,13,0.377
0,6.83,0,5,1.485
3,2.05,0,7,0.118
3,28.88,1,3,1.993
4,29.91,0,19,0.021
2,1.97,0,16,0.065
4,12.38,1,13,0.027
4,2.66,1,15,0.01
3,17.39,0,10,0.874
0,13.44,0,4,2.597
2,16.68,1,12,0.715
4,29.61,0,22,0.047
0,2.72,1,11,0.762
4,12.96,0,23,0.025
0,15.01,0,23,2.881
2,8.22,0,4,0.392
0,23.4,1,13,6.075
0,29.91,1,8,8.159
4,23.47,1,17,0.027
4,2.17,0,14,0.01
2,16.62,0,0,0.453
4,23.68,0,5,0.038
4,18.05,0,3,0.015
0,21.15,0,7,2.712
1,22.77,1,13,2.054
2,22.8,1,16,1.197
1,25.57,1,16,2.057
0,16.87,1,9,2.715
4,25.78,1,10,0.022
3,15.75,1,7,1.098
2,5.87,1,21,0.236
2,26.31,0,15,0.868
4,12.62,0,13,0.011
3,1.19,1,11,0.075
1,25.07,1,8,1.97
1,8.85,0,21,0.991
2,21.83,0,14,0.569
2,19.99,0,0,0.966
3,8.3,0,15,0.431
0,3.72,0,0,0.776
1,9.47,0,13,0.66
3,6.63,0,16,0.234
0,23.31,0,2,3.635
3,4.04,1,5,0.272
3,3.46,0,18,0.241
0,3.58,1,3,0.69
4,23.9,0,7,0.027
4,29.34,0,0,0.036
4,15.85,0,4,0.016
1,17.56,1,23,1.854
2,28.37,0,14,1.272
3,14.59,0,3,0.665
3,22.39,0,18,0.815
1,13.92,0,5,0.866
3,8.52,1,2,0.545
0,1.48,1,5,0.322
3,2.52,0,4,0.085
0,25.94,1,21,5.248
4,17.74,0,9,0.032
1,1.19,0,4,0.085
3,29.84,0,0,1.492
3,20.46,0,7,1.469
3,15.12,1,1,0.865
4,3.07,0,22,0.01
2,13.7,0,1,0.613
0,28.0,0,21,4.251
3,23.58,1,13,1.002
1,9.8,1,9,1.062
4,26.31,0,11,0.028
3,28.82,0,3,0.872
3,27.11,0,6,1.859
2,6.63,1,9,0.22
0,19.69,0,2,3.398
0,11.42,0,3,2.31
0,21.62,0,7,3.339
0,18.65,0,1,3.891
2,28.17,1,21,1.272
4,26.16,1,18,0.035
4,13.74,0,1,0.027
4,28.22,0,20,0.044
2,23.04,0,15,0.742
2,11.33,1,1,0.469
4,25.09,0,17,0.015
0,15.96,1,8,2.542
1,24.74,1,14,2.33
4,7.3,1,6,0.011
4,20.69,1,9,0.026
0,12.81,0,1,1.852
0,9.87,0,22,2.421
2,29.96,0,12,0.672
4,5.66,1,11,0.011
3,9.92,1,17,0.511
3,29.67,0,14,1.274
0,16.35,1,19,2.968
3,6.95,0,15,0.365
0,27.76,0,1,5.774
2,24.56,0,20,0.597
0,1.16,0,9,0.355
2,9.42,1,19,0.426
2,8.34,0,19,0.317
2,11.93,1,1,0.622
3,15.46,0,11,0.941
3,20.56,1,22,0.803
4,21.38,1,15,0.039
2,14.16,0,2,0.708
0,13.06,1,8,4.28
4,2.57,0,1,0.01
4,15.14,0,22,0.018
2,24.02,0,20,0.956
4,9.77,0,23,0.01
0,13.61,1,22,2.793
2,6.84,0,5,0.179
2,3.45,0,3,0.139
2,11.7,0,20,0.242
2,19.1,1,2,0.603
1,12.31,1,6,1.07
0,29.61,0,1,6.834
2,29.86,0,7,1.153
0,23.8,0,7,4.685
1,27.35,1,21,2.341
3,24.24,0,19,1.034
1,6.4,0,17,0.692
2,14.26,1,21,0.817
4,26.95,1,0,0.037
0,19.58,1,21,4.822
2,26.76,1,15,0.847
2,6.0,0,18,0.269
3,16.33,0,19,0.662
0,9.75,1,21,2.863
0,20.76,0,23,3.752
1,16.15,0,23,1.346
3,21.52,1,9,1.135
1,23.09,0,16,2.078
1,10.03,0,19,0.77
3,19.19,1,5,1.418
4,5.39,0,8,0.01
2,18.03,0,12,0.418
1,19.39,0,2,1.971
4,3.46,0,8,0.01
4,6.4,0,8,0.01
1,29.44,1,20,3.817
2,16.46,1,3,0.738
0,23.06,0,13,5.521
1,9.45,0,5,0.91
3,4.46,1,18,0.294
1,6.12,0,12,0.543
3,17.92,1,0,1.183
1,18.39,0,17,1.468
1,5.55,0,21,0.548
0,7.05,0,18,1.55
0,11.15,1,23,2.21
3,11.2,1,17,0.38
3,21.7,1,19,1.226
1,22.15,1,3,2.193
3,3.93,1,3,0.241
3,1.93,1,10,0.128
3,3.76,1,20,0.28
0,23.36,0,8,3.627
2,29.07,1,12,1.265
3,14.78,1,0,1.051
0,3.67,0,15,0.655
1,13.26,0,1,1.138
0,17.2,0,4,2.471
0,13.5,1,15,2.847
0,18.71,1,21,5.419
0,11.73,1,13,2.008
4,3.43,0,0,0.01
1,21.74,1,6,2.243
3,10.47,1,18,0.485
4,22.69,0,3,0.042
2,18.4,0,11,0.473
0,11.9,1,3,1.791
3,24.04,1,21,0.909
3,28.78,1,0,1.289
3,23.18,0,11,1.292
2,15.96,0,10,0.723
2,3.93,1,21,0.091
1,23.94,0,3,2.508
2,13.3,1,10,0.629
1,15.48,0,21,1.495
0,6.13,1,11,2.069
1,26.89,1,15,1.965
3,20.4,0,1,1.312
1,19.62,0,12,1.643
0,21.19,1,18,5.493
3,12.18,0,14,0.543
4,19.48,0,7,0.011
1,18.75,1,3,1.589
0,26.06,1,18,4.99
1,24.1,1,10,2.355
0,1.93,0,13,0.433
4,7.36,1,6,0.01
1,27.72,1,18,3.479
2,7.4,0,9,0.301
4,15.47,1,11,0.01
3,14.61,1,23,0.753
4,0.67,1,11,0.01
0,4.94,0,12,0.641
2,5.91,0,10,0.294
0,16.25,1,8,2.736
1,8.1,1,21,0.75
2,26.74,0,11,0.951
3,25.17,0,11,0.995
1,21.17,1,12,2.14
2,5.86,0,11,0.28
0,20.97,1,5,3.595
1,21.79,0,10,2.354
4,13.53,0,13,0.021
4,19.27,0,5,0.027
2,20.43,1,18,0.881
0,26.85,0,19,5.274
2,3.7,0,13,0.141
